tileset,index,type_or_hex
indoor_jubilife,0,COVERED
indoor_jubilife,1,COVERED
indoor_jubilife,2,COVERED
indoor_jubilife,3,COVERED
indoor_jubilife,4,COVERED
indoor_jubilife,5,SPLIT
indoor_jubilife,6,SPLIT
indoor_jubilife,7,SPLIT
indoor_jubilife,8,COVERED
indoor_jubilife,9,COVERED
indoor_jubilife,10,COVERED
indoor_jubilife,11,COVERED
indoor_jubilife,12,COVERED
indoor_jubilife,13,COVERED
indoor_jubilife,14,COVERED
indoor_jubilife,15,COVERED
indoor_jubilife,16,COVERED
indoor_jubilife,17,COVERED
indoor_jubilife,18,COVERED
indoor_jubilife,19,COVERED
indoor_jubilife,20,COVERED
indoor_jubilife,21,COVERED
indoor_jubilife,22,COVERED
indoor_jubilife,23,COVERED
indoor_jubilife,24,SPLIT
indoor_jubilife,25,SPLIT
indoor_jubilife,26,COVERED
indoor_jubilife,27,COVERED
indoor_jubilife,28,COVERED
indoor_jubilife,29,COVERED
indoor_jubilife,30,COVERED
indoor_jubilife,31,COVERED
indoor_jubilife,32,COVERED
indoor_jubilife,33,COVERED
indoor_jubilife,34,COVERED
indoor_jubilife,35,COVERED
indoor_jubilife,36,COVERED
indoor_jubilife,37,COVERED
indoor_jubilife,38,COVERED
indoor_jubilife,39,COVERED
indoor_jubilife,40,COVERED
indoor_jubilife,41,COVERED
indoor_jubilife,42,COVERED
indoor_jubilife,43,COVERED
indoor_jubilife,44,COVERED
indoor_jubilife,45,COVERED
indoor_jubilife,46,COVERED
indoor_jubilife,47,COVERED
indoor_jubilife,48,COVERED
indoor_jubilife,49,COVERED
indoor_jubilife,50,COVERED
indoor_jubilife,51,COVERED
indoor_jubilife,52,COVERED
indoor_jubilife,53,COVERED
indoor_jubilife,54,COVERED
indoor_jubilife,55,COVERED
indoor_jubilife,56,COVERED
indoor_jubilife,57,COVERED
indoor_jubilife,58,COVERED
indoor_jubilife,59,COVERED
indoor_jubilife,60,COVERED
indoor_jubilife,61,COVERED
indoor_jubilife,62,COVERED
indoor_jubilife,63,COVERED
indoor_jubilife,64,COVERED
indoor_jubilife,65,COVERED
indoor_jubilife,66,COVERED
indoor_jubilife,67,COVERED
indoor_jubilife,68,COVERED
indoor_jubilife,69,COVERED
indoor_jubilife,70,COVERED
indoor_jubilife,71,COVERED
indoor_jubilife,72,COVERED
indoor_jubilife,73,COVERED
indoor_jubilife,74,COVERED
indoor_jubilife,75,COVERED
indoor_jubilife,76,COVERED
indoor_jubilife,77,COVERED
indoor_jubilife,78,COVERED
indoor_jubilife,79,COVERED
indoor_jubilife,80,COVERED
indoor_jubilife,81,COVERED
indoor_jubilife,82,COVERED
indoor_jubilife,83,COVERED
indoor_jubilife,84,COVERED
indoor_jubilife,85,COVERED
indoor_jubilife,86,COVERED
indoor_jubilife,87,COVERED
indoor_jubilife,88,COVERED
indoor_jubilife,89,COVERED
indoor_jubilife,90,COVERED
indoor_jubilife,91,COVERED
indoor_jubilife,92,COVERED
indoor_jubilife,93,COVERED
indoor_jubilife,94,COVERED
indoor_jubilife,95,COVERED
indoor_jubilife,96,COVERED
indoor_jubilife,97,COVERED
indoor_jubilife,98,COVERED
indoor_jubilife,99,COVERED
indoor_jubilife,100,COVERED
indoor_jubilife,101,COVERED
indoor_jubilife,102,COVERED
indoor_jubilife,103,COVERED
indoor_jubilife,104,COVERED
indoor_jubilife,105,COVERED
indoor_jubilife,106,COVERED
indoor_jubilife,107,COVERED
indoor_jubilife,108,COVERED
indoor_jubilife,109,COVERED
indoor_jubilife,110,COVERED
indoor_jubilife,111,COVERED
indoor_jubilife,112,COVERED
indoor_jubilife,113,COVERED
indoor_jubilife,114,COVERED
indoor_jubilife,115,COVERED
indoor_jubilife,116,COVERED
indoor_jubilife,117,COVERED
indoor_jubilife,118,COVERED
indoor_jubilife,119,COVERED
indoor_jubilife,120,COVERED
indoor_jubilife,121,COVERED
indoor_jubilife,122,COVERED
indoor_jubilife,123,COVERED
indoor_jubilife,124,COVERED
indoor_jubilife,125,COVERED
indoor_jubilife,126,COVERED
indoor_jubilife,127,COVERED
outdoor_oreburgh,0,COVERED
outdoor_oreburgh,1,COVERED
outdoor_oreburgh,2,COVERED
outdoor_oreburgh,3,COVERED
outdoor_oreburgh,4,COVERED
outdoor_oreburgh,5,COVERED
outdoor_oreburgh,6,COVERED
outdoor_oreburgh,7,COVERED
outdoor_oreburgh,8,COVERED
outdoor_oreburgh,9,COVERED
outdoor_oreburgh,10,COVERED
outdoor_oreburgh,11,COVERED
outdoor_oreburgh,12,COVERED
outdoor_oreburgh,13,COVERED
outdoor_oreburgh,14,TOP
outdoor_oreburgh,15,COVERED
outdoor_oreburgh,16,COVERED
outdoor_oreburgh,17,COVERED
outdoor_oreburgh,18,COVERED
outdoor_oreburgh,19,TOP
outdoor_oreburgh,20,TOP
outdoor_oreburgh,21,COVERED
outdoor_oreburgh,22,COVERED
outdoor_oreburgh,23,COVERED
outdoor_oreburgh,24,COVERED
